wallet,sRGKAmount,RGKAmount,warmupValue,MIMBONDvalue,MIMRGKBONDvalue,USDCvalue,OLDMIMBONDvalue,OLDMIMRGKBONDvalue,PrivatePresaleValue,PublicPresaleValue,total
0xc3a656C3De604682B09603023EAFCdbAC2A78f88,3.579139692,0.000005745,0,0,0,0,0,0,0,0,3.579145437
0x0F112A22e62FcB1D7D2915E9c0B6b6CFd7b9300C,117.449136926,0,0,0,0,0,0,0,0,5.555591542361071e-10,117.44913692655555
0xA251CfD2730a91A3351d40C521e0e1B8AF148Bf8,0,0,0,0,0,0,0,0,0,0,0
0xcBf340596c0C85Cd737397fe81Aa0e30F4dcB534,70.310610708,33.706155396,0,0,0,0,0,0,0,0,104.016766104
0x00eA9E43C49663798E9e761607389012D9649808,120.476690775,0,0,0,0,0,0,0,0,0,120.476690775
0x0E39B12Dc1F8A69202838F540684FB5aC307C9c1,0,0.00006043,15.573047986,2.788903797,0,0,0,0,0,0,18.362012213
0xABB4130320046a278a757c00e76a5253F4373b5c,0,0,0.560569393,0,0,0,0,0,0,0,0.560569393
0x45e5D35F5F80Eeb115CAFc81B01978aB2eaeF6B2,1e-9,0,0,0,0,0,0,0,0,3.552713678800501e-15,1.0000035527136789e-9
0xD472B3F3D5c28966a395835E28AD2fb22c8CA777,68.064527741,0,0,0.120821153,0,0,0,0,0,0,68.185348894
0xA14ceAa5214B34f1960Ee7424eb6A2CFe001443A,15.826755606,0,0,0,0,0,0,0,0,0,15.826755606
0x20c72Dc5D144116ED179a97187f7278eF35441e0,61.556796257,0,0,0,0,0,0,0,0,0,61.556796257
0xf85fcED0AdedcFB69451d458bA2C919dCB9a11F8,31.113972377,0.000013652,0,0.009432368,0,0,0,0,0,9.980034576528851e-10,31.123418397998
0xF0a125C2B1a118a7f4235cA840A6a1108444316e,0,0.000018682,16.391231594,0,0,0,0,0,0,0,16.391250276
0x4918Ecb510E82632643e190ddC7a81485aE89F87,0,0,0,0,7.228167498,0,0,0,0,2.540048171795206e-10,7.228167498254005
0x22892d4D59b28C530d58932504B666388c125566,1e-9,0,0,2.615686323,0,0,0,0,0,0,2.615686324
0xa5A3404d59639c4C73401fa1B8a5Ef61CE9E5450,3.282305813,20.000047661,0,0,0,0,0,0,0,0,23.282353474
0x07049446c8615479C485c87a84e805097122CA02,13.948714556,0,0,0,0,0,0,0,0,0,13.948714556
0x3a2C2136487651380854F2Ec6cfeC78E65980ec5,0,0,0,0,0,0,0,0,0,0,0
0x1CF1Ef6B818EA9e9B215Af049a80ed1322d8d56B,0.492165245,0.000074243,0,0,0,0,0,0,0,0,0.49223948799999995
0x859913A91d7A2e063787B41EDf84546e1470f427,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0x660e9306b94053fE1e3037A790c6CdcF7d0d6AE7,675.503835651,0.000089489,90.814,0,0,0,0,0,0,0,766.3179251399999
0xB8772513A38926254B42b5dB0546dd11d367eeF6,0,0.000055771,9.808693065,0.972852882,0,0,0,0,0,0,10.781601718
0xD64f2bA967A29eDb9E39e19A0A2C88E157AA6Ae0,82.490662121,0,0,0,0,0,0,0,0,0,82.490662121
0x2Aae69e2f552Aa931D8D29F1cE424637F0c0D3eB,238.952337082,0,0,0,0,0,0,0,0,0,238.952337082
0x38720fd529eE9E7867dc11A862cdD3993C82D6E7,0,0,0,0.213185669,0,0,0,0,0,0,0.213185669
0x62Ba712944956818FEF0b490BbD7A5B959a61A37,0,0,0,0,0,0,0,0,0,0,0
0x2dcEAE865CAbdd8258E49FBbE5d5447cB06d876D,0,0.000078742,82.124293837,0,0,0,0,0,0,0,82.124372579
0x68f29A1a9F3e21df0a6E20b9f031Fe0b5dCaB2cc,17.213687966,0,0,0,0,0,0,0,0,0,17.213687966
0x9702219A295801852357994DbfAEA84fcE3590Ca,0,0,0,0,0,0,0,0,0,0,0
0xE018C113e1350d3763ED3AaE36F294DF544cdF8e,0,0,0,0,0,0,0,0,0,0,0
0xc852271011DAE82AB1a14752754e560a317e8361,16.768832891,0,0,0,0,0,0,0,0,0,16.768832891
0xE9C2fab5A3de06f8Ca35567a4D3ECf0205ADf854,0,10.701133201,0,0,0,0,0,0,0,0,10.701133201
0x945a7a9e30f518b0eB6f90009496B04A1F454255,0,0,0,0,0,0,0,0,0,5.600782060355414e-10,5.600782060355414e-10
0x150Fa2AFc4DB393B4d231CbAcE82eCFc7d3b4Be9,0,0.931303178,0,0,0,0,0,0,0,0,0.931303178
0xdEEB5c43dD9b8d1BA200b534F6ebDFC7635235ea,0,0,7.909799485,5.120566279,2.767917059,0,0,0,0,0,15.798282823000001
